Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Mol. weight [kDa],Peptides,Valid values,Valid values 15 min,Valid values unstim,Myd88 15 min 1 neu,MyD88 15 min 2 neu,MyD88 15 min 3 neu,MyD88 15 min 4 neu,MyD88 unstim 2 neu,MyD88 unstim 3 neu,MyD88 unstim 4 neu
+,2.524398034,-2.079850356,Q6ZWV7,Q6ZWV7,60S ribosomal protein L35,Rpl35,,14.552,2,11,4,3,25.56788635,25.91368484,24.71498489,25.18718529,27.68418503,27.73578644,26.85738564
+,2.933857809,-1.548000336,Q6ZWX6,Q6ZWX6,Eukaryotic translation initiation factor 2 subunit 1,Eif2s1,,36.108,22,12,4,4,19.76418495,20.32068634,19.84988594,19.7923851,21.68888664,21.68688583,21.06358528
+,2.152732626,-1.580124378,Q6ZWY3,Q6ZWY3,40S ribosomal protein S27-like,Rps27l,,9.4771,6,12,4,4,22.83468628,23.24278641,22.65688515,22.59868622,24.80918503,24.77118492,23.65978622
,1.231404443,-0.6908167998,Q70FJ1,Q70FJ1,A-kinase anchor protein 9,Akap9,,435.87,15,11,4,3,12.75598621,12.2169857,12.23308563,12.30768585,13.27248573,13.4316864,12.50358582
+,2.97733643,-1.793591499,Q75NR7,Q75NR7,ATP-dependent DNA helicase Q4,Recql4,,135.12,17,12,4,4,15.45168591,15.88388538,15.23588562,15.41638565,17.7835865,17.10258484,16.98548508
+,3.595087329,1.490383228,Q76I79,Q76I79,Protein phosphatase Slingshot homolog 1,Ssh1,,115.3,11,11,4,3,15.62868595,15.6544857,15.60788536,15.95948601,14.52768612,14.03448582,14.10458565
+,4.249008711,-1.590783914,Q76KJ5,Q76KJ5,DNA-directed RNA polymerase I subunit RPA34,Cd3eap,,43.082,12,12,4,4,18.58938599,18.4669857,18.62608528,18.73088646,20.35568619,20.28988647,19.93678665
,0.5129208897,1.102716366,Q76MZ3,Q76MZ3,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Ppp2r1a,,65.322,10,12,4,4,15.12838554,15.53748608,17.8392849,17.70058632,16.12778664,15.92588615,14.29248524
,1.374998288,-0.7850997448,Q78HU3,Q78HU3,Multivesicular body subunit 12A,Mvb12a,,28.705,1,10,4,2,13.46518612,12.9669857,13.33098602,13.76158524,14.00328541,NaN,14.32928562
,0.5580058637,-0.6802832286,Q78IK2,Q78IK2,Up-regulated during skeletal muscle growth protein 5,Usmg5,,6.3814,1,11,4,3,17.35688591,18.04428673,16.2706852,16.81268501,18.16328621,18.22888565,17.01208496
+,1.932785997,-1.178066572,Q78PY7,Q78PY7,Staphylococcal nuclease domain-containing protein 1,Snd1,,102.09,34,12,4,4,18.65088654,19.04748535,17.98498535,18.40898514,19.81668663,19.941185,19.34558487
+,3.034299531,-1.508933226,Q78WZ7,Q78WZ7,DNA-directed RNA polymerase I subunit RPA43,Twistnb,,36.721,3,11,4,3,15.09478569,15.24158573,14.94898605,15.00578594,17.03438568,16.50288582,16.20788574
,0.3148950825,-0.2591252327,Q78XF5,Q78XF5,Oligosaccharyltransferase complex subunit OSTC,Ostc,,16.815,1,8,4,3,15.67488575,14.44728565,15.3185854,14.96108532,15.10438538,15.69748592,15.27688599
+,1.342512535,1.929475149,Q78ZA7,Q78ZA7,Nucleosome assembly protein 1-like 4,Nap1l4,,42.679,6,11,4,3,16.38478661,16.53438568,15.85788536,16.20358658,14.06608582,15.88908577,12.99188614
,0.915231816,-0.8956494331,Q791T5,Q791T5,Mitochondrial carrier homolog 1,Mtch1,,41.565,4,11,4,3,15.2339859,15.21728611,14.52418613,14.23908615,16.44488525,15.77078533,14.88218594
+,1.961741535,-1.057208061,Q791V5,Q791V5,Mitochondrial carrier homolog 2,Mtch2,,33.499,4,12,4,4,16.59248543,16.87388611,16.47878647,16.51448631,18.01178551,17.91868591,17.085886
,0.07148048648,0.07670005163,Q7TMB8,Q7TMB8,Cytoplasmic FMR1-interacting protein 1,Cyfip1,,145.24,10,12,4,4,14.26998615,14.74378586,13.4452858,14.37688541,14.56018543,14.09998608,13.73668575
,0.1012975,-0.3495767117,Q7TMC8,Q7TMC8,,Fuk,,119.27,3,10,4,3,11.77898598,12.94488621,12.62518597,10.59068584,14.79148579,10.34576607,11.86628628
+,2.182940925,-1.728567441,Q7TMF2,Q7TMF2,3-5 exoribonuclease 1,Eri1,,39.493,9,12,4,4,18.06638527,18.07888603,17.85768509,16.89538574,19.6544857,19.7210865,18.98388672
+,2.511759699,-1.262366692,Q7TMI3,Q7TMI3,E3 ubiquitin-protein ligase UHRF2,Uhrf2,,90.105,6,11,4,3,13.01498604,13.2954855,12.52828598,12.93878555,14.53918552,14.11468601,13.96638584
+,2.718699801,-1.384808699,Q7TMK9,Q7TMK9,Heterogeneous nuclear ribonucleoprotein Q,Syncrip,,69.632,25,12,4,4,20.96748543,21.38248634,20.62938499,20.74388504,22.53718567,22.37648582,22.03318596
+,0.5673596297,-4.086574793,Q7TMM9,Q7TMM9,Tubulin beta-2A chain,Tubb2a,,49.906,20,10,4,2,14.49518585,14.96728611,16.60228539,16.75308609,NaN,14.75448608,24.82758522
,0.2642359583,-0.9133250713,Q7TMX5,Q7TMX5,Protein SHQ1 homolog,Shq1,,63.457,1,8,4,2,11.91798592,12.79998589,9.51518631,13.64408588,NaN,13.44548607,12.31978607
+,1.055189233,-1.086316903,Q7TMY4,Q7TMY4,THO complex subunit 7 homolog,Thoc7,,23.715,1,11,4,3,14.03058529,15.50948524,13.92968559,13.61398602,15.48538589,15.51328564,15.07308578
,0.5740044871,-1.173694849,Q7TN02,Q7TN02,Mediator of RNA polymerase II transcription subunit 26,Med26,,64.679,2,11,4,3,11.21148586,12.29508591,10.61888599,10.76698589,10.44224548,13.60478592,13.14338589
,1.144689428,-0.9183333715,Q7TN98;Q812E0;Q7TN99,Q7TN98;Q812E0;Q7TN99,Cytoplasmic polyadenylation element-binding protein 4;Cytoplasmic polyadenylation element-binding protein 2;Cytoplasmic polyadenylation element-binding protein 3,Cpeb4;Cpeb2;Cpeb3,,80.121,2,10,3,3,NaN,12.76398563,12.16398621,12.26968575,13.88088608,12.74188614,13.32988548
,0.997611764,-0.7223163446,Q7TNB8;Q689Z5,Q7TNB8;Q689Z5,Protein strawberry notch homolog 2;Protein strawberry notch homolog 1,Sbno2;Sbno1,,149.29,2,10,4,3,12.75528622,13.587286,12.29768562,12.83708572,13.99768543,13.42418575,13.35308552
+,1.332366294,-1.374941667,Q7TNC4,Q7TNC4,Putative RNA-binding protein Luc7-like 2,Luc7l2,,46.582,11,12,4,4,18.97508621,19.12738609,17.91098595,17.87138557,20.23118591,20.27078629,19.03648567
+,4.689053289,-2.03834947,Q7TND5,Q7TND5,Ribosome production factor 1,Rpf1,,40.036,10,12,4,4,18.07358551,18.29908562,18.31088638,18.46458626,20.13118553,20.50718498,20.33778572
+,1.621731214,1.001533429,Q7TNP2,Q7TNP2,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,Ppp2r1b,,65.934,4,11,4,3,13.88878536,13.3929863,14.00968552,13.43528557,12.55608559,12.2322855,13.25208569
+,4.023915174,-0.9000750383,Q7TNV0,Q7TNV0,Protein DEK,Dek,,43.158,5,11,4,3,15.91068554,15.82308578,15.82288551,15.7461853,16.63958549,16.89058495,16.64718628
,0.3515503389,-0.5883084933,Q7TPD0,Q7TPD0,Integrator complex subunit 3,Ints3,,117.94,3,11,4,3,13.82758522,13.84498596,11.67248631,12.86538601,14.51208591,13.2910862,13.11958599
+,2.4162194,-1.711175283,Q7TPD1,Q7TPD1,F-box only protein 11,Fbxo11,,103.73,11,12,4,4,16.38468552,16.82188606,16.06908607,15.97838593,18.57998657,17.94008636,17.5539856
+,3.15027039,-1.632482767,Q7TPH6,Q7TPH6,E3 ubiquitin-protein ligase MYCBP2,Mycbp2,,521.23,65,12,4,4,15.37018585,15.65318584,15.14248562,14.97148609,17.05828476,17.09638596,16.59578514
+,2.296752853,-1.75693361,Q7TPM1,Q7TPM1,Protein PRRC2B,Prrc2b,,160.91,21,12,4,4,15.33508587,16.39268494,15.60468578,15.3966856,17.75318527,17.67338562,16.89108658
+,2.461585025,0.885559241,Q7TPR4;O88990,Q7TPR4,Alpha-actinin-1,Actn1,,103.07,45,12,4,4,19.4785862,19.45578575,19.1313858,19.65628624,18.72128487,18.2862854,18.627285
,0.5136779205,-1.41249752,Q7TPS5,Q7TPS5,C2 domain-containing protein 5,C2cd5,,111.66,1,9,4,2,11.05238628,12.26568604,8.57809639,11.45398617,NaN,12.55228615,11.94778633
+,2.990931797,-1.828550339,Q7TPV2,Q7TPV2,E3 ubiquitin-protein ligase DZIP3,Dzip3,,138.02,4,10,4,2,11.22988605,11.01398563,11.16028595,11.67478561,13.09018612,13.10638618,NaN
+,1.992328281,-1.468132973,Q7TPV4,Q7TPV4,Myb-binding protein 1A,Mybbp1a,,152.04,58,12,4,4,21.92748642,22.56508636,21.28028488,21.60108566,23.54448509,23.47928619,22.91108513
+,2.117802836,-1.483333429,Q7TQH0,Q7TQH0,Ataxin-2-like protein,Atxn2l,,110.65,29,12,4,4,20.57948494,21.30508614,20.19588661,20.28148651,22.44408607,22.0410862,21.73628616
+,1.149417741,-1.45642519,Q7TQI8,Q7TQI8,Testis-specific Y-encoded-like protein 2,Tspyl2,,77.67,4,11,4,3,13.5301857,14.75258541,12.17958641,13.69868565,15.11548615,15.16938591,14.70518589
+,2.449597876,-1.608726025,Q7TQK4,Q7TQK4,Exosome complex component RRP40,Exosc3,,29.546,10,12,4,4,18.6510849,19.29538536,18.024086,18.79888535,20.36478615,20.27868652,20.25978661
+,1.633902276,-1.674150387,Q7TS74,Q7TS74,Cytoskeleton-associated protein 2-like,Ckap2l,,82.998,10,12,4,4,15.79768562,16.76018524,15.26768589,15.14258575,17.57398605,17.90418625,16.77038574
+,2.671426722,-1.643733342,Q7TSC1,Q7TSC1,Protein PRRC2A,Prrc2a,,229.2,65,12,4,4,18.38148499,18.87648582,18.14808655,18.11668587,20.37448502,20.10688591,19.59188652
+,1.665158663,1.240535021,Q7TSG1,Q7TSG1,Centrosomal protein of 120 kDa,Cep120,,112.58,2,6,4,2,12.17938614,11.62348557,11.57158566,11.2570858,NaN,10.71074581,10.12395573
+,1.515689287,-2.551916758,Q7TSG3,Q7TSG3,F-box only protein 5,Fbxo5,,47.508,4,11,4,3,13.33328629,12.21968555,9.882685661,11.84688568,14.54808617,14.27518559,14.29438591
+,3.004575561,-1.843891541,Q7TSH6;Q6DID3,Q7TSH6;Q6DID3,Protein SCAF8,Scaf4;Scaf8,,129.05,2,8,4,3,12.35278606,12.48208618,12.10008621,12.42128563,14.60278606,14.33768559,13.60838604
,0.4277258759,0.2092327277,Q7TSI3,Q7TSI3,Serine/threonine-protein phosphatase 6 regulatory subunit 1,Ppp6r1,,94.526,10,11,4,3,15.57718563,15.87758541,15.42548561,15.96808529,15.28038597,15.86478615,15.36338615
+,2.16685499,-1.50088342,Q7TSV4,Q7TSV4,Phosphoglucomutase-2,Pgm2,,68.747,3,6,3,3,NaN,11.59088612,11.055686,11.10268593,12.69828606,NaN,12.80298615
,1.102628274,-0.8884584109,Q7TSV9,Q7TSV9,Enkurin domain-containing protein 1,Enkd1,,38.966,6,11,4,3,15.52418613,16.64988518,15.13268566,15.399086,16.44098663,16.50498581,16.74878502
+,2.264089329,-1.845242341,Q7TSY8,Q7TSY8,Shugoshin-like 2,Sgol2,,130.28,32,12,4,4,17.59488487,17.23528481,16.39718628,16.55988503,19.07008553,19.01548576,18.29058647
,1.759523017,-0.3755498727,Q7TSZ8,Q7TSZ8,Nucleus accumbens-associated protein 1,Nacc1,,56.536,3,11,4,3,14.37988567,14.08048534,14.15748596,14.04148579,14.43838596,14.67738533,14.5053854
+,2.008779748,-1.655466795,Q7TT28,Q7TT28,RNA exonuclease 1 homolog,Rexo1,,130.79,9,12,4,4,14.5216856,14.95738602,14.06798553,14.01088524,16.58838654,16.22078514,15.3256855
+,2.903838467,-1.242866834,Q7TT37,Q7TT37,Elongator complex protein 1,Ikbkap,,149.58,27,12,4,4,16.88488579,16.7359848,16.21068573,16.51918602,17.98308563,17.84688568,17.66168594
+,3.338481048,-1.736783107,Q7TT79,Q7TT79,Microcephalin,Mcph1,,90.372,6,12,4,4,13.37468624,13.36248589,13.83028603,13.07428551,15.24348545,14.89288616,15.30528545
,1.053109421,-1.017175198,Q80SY4,Q80SY4,E3 ubiquitin-protein ligase MIB1,Mib1,,110.09,6,11,4,3,11.74988556,13.60318565,12.62918568,12.47778606,13.70028591,13.94368553,13.25258636
,0.7424300858,-0.7676082452,Q80SY5,Q80SY5,Pre-mRNA-splicing factor 38B,Prpf38b,,63.752,3,11,4,3,15.18008614,16.02548599,14.36948586,15.86538601,15.83288574,16.62858582,15.92168617
+,2.750219858,-1.721575737,Q80T69,Q80T69,Round spermatid basic protein 1,Rsbn1,,89.25,19,12,4,4,17.83808517,18.63418579,17.88728523,17.98288536,20.06698608,19.97768593,19.37688637
,0,NaN,Q80TE4,Q80TE4,Signal-induced proliferation-associated 1-like protein 2,Sipa1l2,,189.41,4,3,3,0,9.649785995,NaN,9.711686134,7.734395981,NaN,NaN,NaN
+,0.8592000077,-1.768387079,Q80TG1,Q80TG1,KAT8 regulatory NSL complex subunit 1,Kansl1,,113.18,3,11,4,3,10.71908569,12.67208576,8.777205467,10.88828564,13.09378624,12.77708626,11.72678566
,0,1.002259493,Q80TH2,Q80TH2,Protein LAP2,Erbb2ip,,157.25,2,7,4,1,9.810385704,11.01258564,11.15748596,11.08528614,NaN,NaN,9.764176369
+,1.895320495,-1.459157705,Q80TJ7,Q80TJ7,Histone lysine demethylase PHF8,Phf8,,113.55,12,12,4,4,15.96098614,16.50288582,15.23868561,15.65608597,17.63358498,17.48588562,16.77698517
,0.2734440294,-0.1994667053,Q80TM9,Q80TM9,Nischarin,Nisch,,175.01,10,11,4,3,14.61538601,14.52058601,14.37128544,14.51228523,14.9041853,15.18338585,14.02548599
+,1.850583346,-1.984158516,Q80TN4,Q80TN4,DnaJ homolog subfamily C member 16,Dnajc16,,89.135,3,11,4,3,12.10098553,11.8134861,10.20768547,11.2084856,13.75968552,13.29288578,12.89788628
,0.08902433472,-0.1699164708,Q80TP3,Q80TP3,E3 ubiquitin-protein ligase UBR5,Ubr5,,308.35,8,10,4,3,12.04128551,11.81818581,12.37408638,12.11378574,12.82988548,13.27458572,10.66578579
,0.110945645,-0.1777798335,Q80TQ2,Q80TQ2,Ubiquitin carboxyl-terminal hydrolase CYLD,Cyld,,106.58,1,6,3,2,9.40728569,9.759586334,NaN,8.984456062,NaN,10.21645546,8.906656265
,0.1541303798,0.1076918443,Q80TR8,Q80TR8,Protein VPRBP,Vprbp,,168.93,7,11,4,3,13.48528576,13.46208572,12.77918625,12.76708603,12.89448547,13.28688622,12.8657856
,0.08923877793,-0.1207165718,Q80TV8,Q80TV8,CLIP-associating protein 1,Clasp1,,169.23,9,11,4,3,13.24498558,14.0943861,12.73438549,12.44318581,12.95678616,13.80658531,12.98648548
+,0.805540676,-1.464200338,Q80U28,Q80U28,MAP kinase-activating death domain protein,Madd,,175.18,3,10,3,4,11.70498562,12.1157856,NaN,9.574585915,12.86548615,12.91318607,12.00928593
+,2.954743831,-0.9765415986,Q80U58,Q80U58,Pumilio homolog 2,Pum2,,114.31,7,11,4,3,13.74638557,14.00738525,13.87028599,13.85598564,14.78928566,14.60868549,15.14168549
+,2.19189294,-1.353383541,Q80U70,Q80U70,Polycomb protein Suz12,Suz12,,83.025,14,12,4,4,16.85088539,17.38448524,16.55488586,16.69548607,18.54868507,18.39818573,17.72758675
,1.518477088,0.828858455,Q80U72;Q80VQ1,Q80U72,Protein scribble homolog,Scrib,,174.06,9,11,4,3,14.01068592,14.1466856,13.21968555,13.57698631,12.97948551,13.11308575,12.63638592
+,1.747669123,-1.958525022,Q80U78,Q80U78,Pumilio homolog 1,Pum1,,126.62,8,12,4,4,14.991786,15.30458546,14.6374855,13.32358551,17.00258636,16.5199852,16.04608536
+,2.542217333,-0.9529749552,Q80U93,Q80U93,Nuclear pore complex protein Nup214,Nup214,,212.98,4,10,4,3,10.41688633,10.98508549,10.59788609,10.71778584,11.87998581,11.53568554,11.48148632
,0,-0.2834196091,Q80U95,Q80U95,Ubiquitin-protein ligase E3C,Ube3c,,123.97,2,6,4,1,10.34278584,11.54588604,10.54328632,10.62798595,NaN,11.04840565,NaN
,0.1687652932,-0.08029182752,Q80UG5,Q80UG5,Septin-9,9-Sep,,65.574,4,11,4,3,14.22158527,14.17348576,14.09228611,14.01088524,14.51928616,13.81228542,14.28298569
+,1.480892365,-1.57597518,Q80UG8,Q80UG8,Tubulin polyglutamylase TTLL4,Ttll4,,132.53,4,11,4,3,11.79708576,12.6351862,10.43358612,11.56218624,13.06148624,13.28768635,13.19978619
+,1.361234422,-1.137816588,Q80UM3,Q80UM3,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",Naa15,,100.96,6,11,4,3,14.09498596,14.13188553,12.89248562,13.96198559,15.15238571,15.23638535,14.33568573
+,2.973025687,-1.332733313,Q80UM7,Q80UM7,Mannosyl-oligosaccharide glucosidase,Mogs,,91.83,7,12,4,4,15.47708607,15.30008602,15.25898552,15.73778534,17.0335865,16.85948563,16.43558502
+,1.694740015,-2.119908651,Q80UP3;D3YWQ0,Q80UP3,Diacylglycerol kinase zeta,Dgkz,,104.03,13,12,4,4,17.00788498,16.17228508,15.43648529,15.70018578,18.66258621,18.88118553,17.05358505
+,1.130308644,-2.547783216,Q80US4,Q80US4,Actin-related protein 5,Actr5,,67.844,5,10,4,3,10.79898548,13.40308571,12.56088638,10.15158558,15.04268551,12.62028599,15.16628551
+,1.717437338,-2.013208151,Q80UU1,Q80UU1,Ankyrin repeat and zinc finger domain-containing protein 1,Ankzf1,,82.975,6,12,4,4,12.58698559,13.41268635,11.35748577,13.4384861,14.96208572,14.72128582,14.45298576
+,1.271372326,-2.389874776,Q80UU2,Q80UU2,Ribonuclease P protein subunit p38,Rpp38,,31.129,5,11,4,3,14.40598583,15.97198582,12.39818573,15.31188583,17.22418594,17.17178535,16.33968544
+,1.095793981,-1.836066723,Q80UV9,Q80UV9,Transcription initiation factor TFIID subunit 1,Taf1,,214.42,6,11,4,3,12.02428627,12.491786,9.420785904,12.05708599,13.03098583,13.4700861,13.50258636
,0.4894364475,0.5849579175,Q80UW3,Q80UW3,Ras and Rab interactor-like protein,Rinl,,62.354,4,11,4,3,12.85448551,13.7624855,12.94318581,13.82908535,12.05828571,13.78458595,12.44418621
+,2.788862677,-1.859533469,Q80UW8,Q80UW8,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",Polr2e,,24.57,3,12,4,4,16.19238663,17.06668663,15.9893856,16.48148537,18.53198624,18.3005867,18.04348564
+,1.357154343,-1.369308233,Q80UZ2,Q80UZ2,Protein SDA1 homolog,Sdad1,,79.558,11,11,4,3,16.00828552,16.19128609,15.75648594,15.024786,17.72538567,17.47778511,16.14038658
+,1.077288031,-1.093024254,Q80VD1,Q80VD1,Protein FAM98B,Fam98b,,45.349,14,12,4,4,17.58888626,18.69318581,16.81248665,17.20088577,18.96298599,18.74388504,18.2937851
+,1.928413271,-1.856649637,Q80VG1,Q80VG1,Sex comb on midleg-like protein 4,Scml4,,44.445,2,10,4,2,11.335886,12.64758587,12.0440855,12.28278637,NaN,13.79978561,14.06868553
+,1.397780273,-3.137200991,Q80VI1,Q80VI1,E3 ubiquitin-protein ligase TRIM56,Trim56,,79.512,22,12,4,4,17.27908516,17.72818565,16.80898476,16.68768501,22.8888855,19.15628624,18.74438667
+,3.593320691,-1.627274831,Q80VY9,Q80VY9,Putative ATP-dependent RNA helicase DHX33,Dhx33,,78.346,21,12,4,4,16.49108505,17.05438614,16.40028572,16.5518856,18.33338547,18.22098541,18.2006855
+,2.733675206,-1.352199872,Q80W00,Q80W00,Serine/threonine-protein phosphatase 1 regulatory subunit 10,Ppp1r10,,94.371,10,11,4,3,15.20358562,15.32928562,14.99728584,14.82058525,16.48698616,16.79098511,16.0416851
+,1.657420505,-2.566279888,Q80WE4,Q80WE4,Kinesin-like protein KIF20B,Kif20b,,203.51,2,11,4,3,9.201286316,7.095525742,9.130895615,7.245676041,11.02732563,11.33988571,9.836666107
+,3.077371688,-1.933266163,Q80WJ7,Q80WJ7,Protein LYRIC,Mtdh,,63.845,16,12,4,4,18.49948502,18.58538628,18.07058525,17.98648643,20.64148521,20.2183857,19.79638481
,0.4182261303,-1.008826256,Q80WQ8,Q80WQ8,Mis18-binding protein 1,Mis18bp1,,113.95,2,9,3,3,8.873716354,11.22988605,NaN,9.528985977,12.26808548,10.70141602,9.689565659
+,2.058960296,-1.069649061,Q80WS3,Q80WS3,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,Fbll1,,33.338,7,11,4,3,18.88518524,19.31068611,18.48978615,18.87848663,20.2984848,19.95798492,19.62558556
,0.3425546236,-0.4633830388,Q80X41,Q80X41,Serine/threonine-protein kinase VRK1,Vrk1,,49.74,9,12,4,4,17.10198593,17.0627861,16.50348663,16.53308487,16.09278488,18.30998611,17.38838577
+,2.628737291,-1.474325339,Q80X50,Q80X50,Ubiquitin-associated protein 2-like,Ubap2l,,116.8,15,12,4,4,17.6109848,17.84208488,17.4724865,17.15628624,19.32448578,19.1191864,18.54068565
,1.066007761,-1.027692397,Q80X73,Q80X73,Protein pelota homolog,Pelo,,43.349,6,12,4,4,16.28168488,16.96648598,15.6242857,16.17738533,17.69518661,17.73188591,16.44338608
+,1.698092848,-1.038900057,Q80X85,Q80X85,"28S ribosomal protein S7, mitochondrial",Mrps7,,28.062,8,12,4,4,17.17718506,18.05298615,17.22748566,16.9778862,18.54968643,18.55218506,18.09148598
+,3.412160585,1.025675456,Q80X90,Q80X90,Filamin-B,Flnb,,277.82,45,12,4,4,15.34548569,15.45428562,15.49378586,15.72268581,14.64578533,14.46388531,14.32548523
,0.6448779427,-0.8081746896,Q80XC2,Q80XC2,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A,Trmt61a,,31.639,5,11,4,3,14.98088551,16.64718628,15.85198593,15.41758537,16.93018532,17.10648537,15.5610857
+,1.883713151,-1.629982948,Q80XC6,Q80XC6,Protein NRDE2 homolog,Nrde2,,133.47,22,12,4,4,15.91248608,16.19218636,14.84538555,15.11128616,17.40028572,17.39188576,16.64378548
,0.2705964969,0.7105749448,Q80XI1,Q80XI1,F-box only protein 34,Fbxo34,,77.137,3,5,3,2,12.33358574,NaN,12.47808552,10.054286,11.07151604,10.75130558,NaN
+,1.785942584,-1.474716504,Q80XI3,Q80XI3,Eukaryotic translation initiation factor 4 gamma 3,Eif4g3,,174.89,13,12,4,4,13.68908596,14.90728569,13.93018532,13.54518604,15.86348534,15.57348537,15.04098606
,0.4913665466,1.053379774,Q80XK6,Q80XK6,Autophagy-related protein 2 homolog B,Atg2b,,231.4,3,11,4,4,10.49438572,11.00348568,10.48958588,10.17648602,10.73844624,7.249345779,10.47502613
,0.8664811245,-0.5243255297,Q80XN0,Q80XN0,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",Bdh1,,38.299,8,11,4,3,16.84008598,17.41288567,16.30428505,16.95698547,17.68058586,17.33098602,17.19708633
+,1.942584018,-1.653091987,Q80XP8,Q80XP8,Protein FAM76B,Fam76b,,38.555,6,12,4,4,15.59558582,16.65318489,15.24838543,15.23788548,17.58948517,17.44358635,16.97748566
,0.6407887507,-0.5894414584,Q80Y17,Q80Y17,Lethal(2) giant larvae protein homolog 1,Llgl1,,112.62,3,11,4,3,12.99588585,13.79798603,13.90648556,12.51568604,13.60548592,13.77638531,14.29848576
,0.1626240942,0.06003252665,Q80Y19,Q80Y19,Rho GTPase-activating protein 11A,Arhgap11a,,108.43,18,12,4,4,17.30278587,17.47468567,16.96778488,17.2142849,17.2455864,17.26898575,17.02498627
+,2.908577744,-1.760925293,Q80Y44,Q80Y44,Probable ATP-dependent RNA helicase DDX10,Ddx10,,100.74,28,12,4,4,17.78788567,18.08768654,17.76158524,17.08428574,19.55628586,19.55478668,19.21278572
+,2.900739727,-1.895642122,Q80YR4,Q80YR4,Zinc finger protein 598,Znf598,,99.191,16,12,4,4,16.2964859,16.48708534,16.01178551,16.09348488,18.50208664,18.35208511,17.49938583
+,2.434921249,-1.957966487,Q80YR5,Q80YR5,Scaffold attachment factor B2,Safb2,,111.84,20,12,4,4,17.48648643,18.10718536,17.06658554,17.19448662,19.70298576,19.77328491,18.78868675
+,0.8253760918,-3.524808327,Q80YV3,Q80YV3,Transformation/transcription domain-associated protein,Trrap,,291.55,13,12,4,4,12.44578552,12.72328568,13.27928638,12.42288589,21.15428543,14.01068592,13.56288624
,1.049037412,-0.958366394,Q80ZK0,Q80ZK0,"28S ribosomal protein S10, mitochondrial",Mrps10,,18.698,2,11,4,3,16.36118507,16.77898598,15.91508579,15.89948559,17.85388565,17.41858482,16.31868553
+,2.423426733,-1.745858987,Q80ZS3,Q80ZS3,"28S ribosomal protein S26, mitochondrial",Mrps26,,23.443,5,12,4,4,16.67208481,16.87888527,15.96958542,16.43048477,18.72538567,18.2903862,17.6850853
+,1.542399169,-1.501342138,Q810A7,Q810A7,ATP-dependent RNA helicase DDX42,Ddx42,,101.96,21,12,4,4,17.02388573,17.71328545,16.03138542,16.76268578,18.83348656,18.56928635,17.74968529
,0.6451071735,-0.7472333113,Q810B6,Q810B6,Rabankyrin-5,Ankfy1,,128.65,4,11,4,3,12.56968594,10.76378632,11.8966856,12.3273859,12.02718639,13.07948589,12.80318546
,1.040223714,-0.7976255417,Q810D6,Q810D6,Glutamate-rich WD repeat-containing protein 1,Grwd1,,49.223,10,12,4,4,17.2475853,18.18048668,16.90948486,17.27628517,18.59978676,17.75238609,18.25108528
+,3.518619433,-2.218633652,Q810V0,Q810V0,U3 small nucleolar ribonucleoprotein protein MPP10,Mphosph10,,78.734,14,12,4,4,16.35508537,16.40508652,15.74428558,16.25148582,18.8012867,18.32888603,18.0926857
,0.6787528919,-0.767074585,Q811D0,Q811D0,Disks large homolog 1,Dlg1,,100.12,6,11,4,3,12.99988556,14.27798557,13.5410862,14.02468586,14.91398525,13.48728561,15.03268528
+,1.802705981,-1.060133616,Q811M1,Q811M1,Rho GTPase-activating protein 15,Arhgap15,,55.339,5,11,4,3,15.46588612,15.85168552,15.29218578,15.4129858,17.1775856,16.33628654,16.18358612
+,1.191891649,-1.293408314,Q811S7,Q811S7,Upstream-binding protein 1,Ubp1,,60.211,3,11,4,3,13.85698605,14.99938583,13.36408615,14.58478546,15.98048592,15.80158615,14.70208549
+,2.478573593,-1.557158311,Q8BFQ4,Q8BFQ4,WD repeat-containing protein 82,Wdr82,,35.079,7,11,4,3,16.83498573,17.61188507,17.20888519,16.66208649,18.87278557,18.77908516,18.25798607
,0.4078497446,-0.2292668025,Q8BFR1,Q8BFR1,Zinc finger CCCH-type antiviral protein 1-like,Zc3hav1l,,32.831,2,10,4,3,13.3297863,12.45288563,13.20218563,13.14188576,13.08668613,13.36618614,13.32998562
,0.8924689017,-0.4983671506,Q8BFR5,Q8BFR5,"Elongation factor Tu, mitochondrial",Tufm,,49.508,23,12,4,4,18.57848549,19.05048561,18.335186,18.28418541,19.29638672,19.2509861,18.63398552
,0.2158104641,-0.6622002125,Q8BFT2,Q8BFT2,HAUS augmin-like complex subunit 4,Haus4,,42.196,2,7,4,2,13.07598591,14.36938572,10.55068588,12.89428616,13.44068623,NaN,13.32888603
+,1.636066705,-1.465216478,Q8BFV2,Q8BFV2,PCI domain-containing protein 2,Pcid2,,46.132,5,11,4,3,15.10808563,15.38388538,14.66888523,13.68688583,16.39548492,16.18528557,15.9506855
