Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Valid values,Valid values 60 min,Valid values unstim,60 min stim FG159 neu,60 min stim FG160 neu,60 min stim FG161 neu,60 min stim FG162 neu,unstim FG10 neu,unstim FG11 neu,unstim FG12 neu,unstim FG9 neu
+,2.213884085,-3.294374943,Q8C0D9,Q8C0D9,Centrosomal protein of 68 kDa,Cep68,,4,8,4,4,8.924900055,12.28610039,11.71000004,11.33469963,14.75829983,14.58129978,13.47570038,14.61789989
,0,NaN,Q8C0E2,Q8C0E2,Vacuolar protein sorting-associated protein 26B,Vps26b,,4,4,4,0,12.89550018,13.05860043,12.93949986,12.79129982,NaN,NaN,NaN,NaN
+,2.431354865,-3.975447178,Q8C0G2,Q8C0G2,TRAF3-interacting JNK-activating modulator,Traf3ip3,,11,8,4,4,13.27850056,10.67821026,13.95549965,14.54170036,17.2003994,17.46100044,16.83939934,16.85490036
+,1.846847386,1.277700186,Q8C0I1,Q8C0I1,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Agps,,2,6,4,2,12.38870049,12.92150021,12.14570045,12.98550034,11.29880047,NaN,NaN,11.3664999
,0.1834539121,0.2250750065,Q8C0M0,Q8C0M0,WD repeat-containing protein 59,Wdr59,,8,8,4,4,12.77320004,13.03530025,14.18799973,13.33880043,12.04220009,13.70660019,13.23600006,13.45020008
,0,1.336849689,Q8C0M9,Q8C0M9,Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain,Asrgl1,,3,5,4,1,14.95709991,15.97509956,14.76119995,15.90999985,14.06400013,NaN,NaN,NaN
+,2.278673175,-1.101500034,Q8C0T5;Q80TE4,Q8C0T5,Signal-induced proliferation-associated 1-like protein 1,Sipa1l1,,73,8,4,4,19.32150078,20.40970039,19.62969971,20.00729942,20.82010078,20.75989914,20.9612999,21.23290062
,0,NaN,Q8C145,Q8C145,Zinc transporter ZIP6,Slc39a6,,4,4,4,0,14.16190052,13.92539978,13.30459976,14.14850044,NaN,NaN,NaN,NaN
+,3.635996722,1.525950432,Q8C147,Q8C147,Dedicator of cytokinesis protein 8,Dock8,,70,8,4,4,19.98679924,20.86400032,20.40550041,20.58539963,18.77890015,18.90329933,18.96159935,19.09409904
,0.1762339633,-0.1923501492,Q8C156,Q8C156,Condensin complex subunit 2,Ncaph,,9,8,4,4,13.45040035,14.84679985,14.16559982,13.96329975,13.7869997,13.73490047,14.80560017,14.86800003
,0.5911122441,-1.155749559,Q8C163,Q8C163,"Nuclease EXOG, mitochondrial",Exog,,5,6,4,2,11.98320007,12.62160015,14.6644001,13.11520004,14.52219963,NaN,NaN,13.98149967
+,1.375126337,2.950779915,Q8C170,Q8C170,Unconventional myosin-IXa,Myo9a,,18,8,4,4,12.36139965,10.8178997,12.43120003,11.66139984,7.263730049,11.54049969,6.954779625,9.709770203
,0.6567981171,-0.4815251827,Q8C176,Q8C176,Transcription initiation factor TFIID subunit 2,Taf2,,20,8,4,4,15.11200047,15.76539993,15.22959995,16.32189941,15.87339973,16.28479958,15.60920048,16.58760071
,0,NaN,Q8C1A5,Q8C1A5,Thimet oligopeptidase,Thop1,,2,4,4,0,11.7276001,13.17790031,12.74839973,12.12199974,NaN,NaN,NaN,NaN
,0.9579575009,0.4907751083,Q8C1B7,Q8C1B7,Septin-11,11-Sep,,3,6,4,2,15.0632,14.59889984,15.31270027,14.94869995,14.34350014,NaN,14.63669968,NaN
,0.2831335834,-0.3063998222,Q8C1D8,Q8C1D8,Protein IWS1 homolog,Iws1,,3,6,2,4,11.99880028,NaN,13.32320023,NaN,13.11429977,12.73760033,13.18120003,12.83650017
,1.313861304,-0.9477995237,Q8C1S0,Q8C1S0,Mediator of RNA polymerase II transcription subunit 19,Med19,,4,7,3,4,15.27869987,14.56190014,16.05340004,NaN,16.32729912,16.31879997,16.11059952,16.22649956
,0,NaN,Q8C2E4,Q8C2E4,"Pentatricopeptide repeat-containing protein 1, mitochondrial",Ptcd1,,3,4,0,4,NaN,NaN,NaN,NaN,13.37129974,13.52850056,14.00290012,13.5010004
,0,2.330032984,Q8C2E7,Q8C2E7,WASH complex subunit strumpellin,Kiaa0196,,5,4,3,1,12.71560001,14.15079975,13.08230019,NaN,NaN,NaN,NaN,10.98620033
,0.5540150593,-0.5420501232,Q8C2K1,Q8C2K1,Differentially expressed in FDCP 6,Def6,,11,8,4,4,13.06099987,13.64340019,13.82229996,14.58049965,13.9921999,13.8281002,15.2901001,14.16499996
,0.2739557915,0.1836996078,Q8C2K5,Q8C2K5,RAS protein activator like-3,Rasal3,,26,8,4,4,16.60790062,17.22139931,17.77199936,17.59619904,17.21030045,17.21299934,16.80800056,17.23139954
+,3.104426965,-2.241025448,Q8C2Q3,Q8C2Q3,RNA-binding protein 14,Rbm14,,24,8,4,4,19.11509895,20.13330078,19.28549957,20.53109932,22.13999939,21.64590073,22.12199974,22.12120056
,0.9409879209,-0.8791751862,Q8C3F2,Q8C3F2,Constitutive coactivator of PPAR-gamma-like protein 2,Fam120c,,24,8,4,4,15.80500031,16.70759964,17.0230999,17.89189911,17.75769997,17.15439987,18.03910065,17.99309921
+,3.129316251,-1.438000202,Q8C3J5,Q8C3J5,Dedicator of cytokinesis protein 2,Dock2,,72,8,4,4,17.26709938,17.79179955,18.09059906,18.1616993,19.37220001,18.96249962,19.31279945,19.41569901
,0,NaN,Q8C3R1,Q8C3R1,BRCA1-associated ATM activator 1,Brat1,,3,4,4,0,12.05060005,10.79450035,11.10239983,11.43319988,NaN,NaN,NaN,NaN
+,3.359264781,-2.116875172,Q8C3X4,Q8C3X4,"Translation factor Guf1, mitochondrial",Guf1,,7,8,4,4,12.37950039,13.64330006,13.13319969,13.24359989,15.64179993,14.92570019,15.15680027,15.14280033
,0,-1.373950243,Q8C3Y4,Q8C3Y4,Kinetochore-associated protein 1,Kntc1,,9,5,4,1,11.48970032,11.9470005,15.09990025,16.42359924,NaN,15.11400032,NaN,NaN
,0,NaN,Q8C460,Q8C460,ERI1 exoribonuclease 3,Eri3,,3,4,4,0,12.98939991,14.68589973,13.3774004,13.65030003,NaN,NaN,NaN,NaN
+,5.07861207,-1.699574947,Q8C4J7,Q8C4J7,Transducin beta-like protein 3,Tbl3,,33,8,4,4,18.22139931,18.50370026,18.46310043,18.5454998,20.03509903,19.91090012,20.33690071,20.24909973
,2.454956393,-0.66857481,Q8C4S8,Q8C4S8,DENN domain-containing protein 2A,Dennd2a,,4,6,4,2,10.70349979,10.98820019,10.71640015,10.84160042,NaN,11.55109978,NaN,11.41090012
,0.5183104029,1.309525251,Q8C4X2,Q8C4X2,Casein kinase I isoform gamma-3,Csnk1g3,,9,6,4,2,13.71990013,15.63220024,14.40980053,15.85000038,NaN,NaN,12.2723999,14.91450024
,0,NaN,Q8C4Y3,Q8C4Y3,Negative elongation factor B,Nelfb,,4,4,4,0,15.07730007,16.71139908,15.92150021,15.68659973,NaN,NaN,NaN,NaN
,0.1955672334,-0.1330504417,Q8C570,Q8C570,mRNA export factor,Rae1,,11,8,4,4,17.38349915,18.52039909,17.94599915,18.34339905,18.30019951,17.93179893,18.33499908,18.15850067
,0.2113350221,0.6008001963,Q8C5L3,Q8C5L3,CCR4-NOT transcription complex subunit 2,Cnot2,,3,5,3,2,13.83860016,12.08150005,11.04769993,NaN,11.43449974,NaN,12.00909996,NaN
+,5.356083157,-3.117449522,Q8C5L7,Q8C5L7,RNA-binding protein 34,Rbm34,,16,8,4,4,14.49330044,15.16279984,14.31099987,14.47650051,17.54109955,17.74239922,17.7765007,17.85339928
+,2.71834535,-1.09817481,Q8C5N3,Q8C5N3,Pre-mRNA-splicing factor CWC22 homolog,Cwc22,,16,8,4,4,15.67039967,16.5503006,16.28590012,15.97649956,17.47030067,17.10689926,17.10779953,17.19079971
+,4.105460824,-2.416900158,Q8C5Q4,Q8C5Q4,G-rich sequence factor 1,Grsf1,,11,8,4,4,14.58090019,15.30539989,14.39669991,15.01739979,17.353899,16.79540062,17.43230057,17.38640022
+,5.552230496,-2.877049446,Q8C6B9,Q8C6B9,Active regulator of SIRT1,Rps19bp1,,6,8,4,4,17.64830017,17.88509941,17.5109005,17.85300064,20.90169907,20.20470047,20.69669914,20.60239983
,0.8407099617,1.001999855,Q8C6G8,Q8C6G8,WD repeat-containing protein 26,Wdr26,,7,8,4,4,13.82660007,15.40499973,14.52850056,15.18179989,14.45499992,12.32670021,14.19210052,13.96010017
,0,NaN,Q8C729,Q8C729,Protein FAM126B,Fam126b,,2,4,4,0,12.17259979,13.72799969,10.96850014,13.42409992,NaN,NaN,NaN,NaN
,0.1356639279,-0.58314991,Q8C761,Q8C761,WD repeat-containing protein 60,Wdr60,,8,8,4,4,11.23019981,11.74330044,16.43499947,16.85300064,14.69509983,13.37180042,16.36179924,14.16540051
+,6.311177793,-2.307774544,Q8C7Q4,Q8C7Q4,RNA-binding protein 4,Rbm4,,12,8,4,4,16.83510017,17.07909966,17.02280045,17.15340042,19.32679939,19.12109947,19.39830017,19.47529984
+,3.630234513,3.633839766,Q8C7R4,Q8C7R4,Ubiquitin-like modifier-activating enzyme 6,Uba6,,8,7,4,3,12.53859997,13.76519966,13.91470051,13.82410049,NaN,9.775310516,9.97603035,9.879090309
+,2.138849822,-1.990000248,Q8C7U1,Q8C7U1,NEDD4-binding protein 3,N4bp3,,12,8,4,4,14.18029976,16.31679916,15.37170029,15.44029999,16.6208992,17.38549995,17.62450027,17.63820076
+,3.233087465,-2.120450497,Q8C7V3,Q8C7V3,U3 small nucleolar RNA-associated protein 15 homolog,Utp15,,16,8,4,4,16.57379913,17.0916996,16.40629959,17.7859993,19.27199936,19.09930038,19.10709953,18.86120033
,0.5164706999,-1.891074896,Q8C7X2,Q8C7X2,ER membrane protein complex subunit 1,Emc1,,7,6,4,2,12.86159992,11.59389973,14.14949989,12.97230053,12.49470043,NaN,17.0760994,NaN
+,2.304997631,-2.617025296,Q8C804,Q8C804,Spindle and centriole-associated protein 1,Spice1,,3,7,3,4,10.44569969,NaN,10.7098999,11.03680038,12.70260048,14.27950001,12.47500038,13.93420029
+,3.512443699,-1.565574646,Q8C827,Q8C827,Zinc finger protein 62,Zfp62,,11,8,4,4,14.80879974,14.1984005,14.19330025,14.56659985,16.16519928,15.65849972,15.88199997,16.32369995
+,3.817070374,-1.994150639,Q8C854,Q8C854,Myelin expression factor 2,Myef2,,19,8,4,4,17.40320015,18.26409912,18.0503006,18.09199905,20.10560036,19.58040047,19.87199974,20.22820091
,0.07276279582,-0.1095502377,Q8C863;Q8BZZ3,Q8C863,E3 ubiquitin-protein ligase Itchy,Itch,,8,8,4,4,13.65740013,14.1303997,14.31630039,13.9428997,12.76370049,13.88930035,14.70100021,15.13119984
,0.4442972653,1.118687391,Q8C8U0,Q8C8U0,Liprin-beta-1,Ppfibp1,,4,8,4,4,12.58440018,13.71259975,13.00279999,13.30959988,11.53410053,9.140049934,14.0447998,13.41569996
+,3.388239561,-3.424524784,Q8C9B9,Q8C9B9,Death-inducer obliterator 1,Dido1,,20,8,4,4,12.11250019,13.10610008,11.62069988,13.71000004,16.25219917,15.73029995,16.13680077,16.12809944
+,3.940290742,-3.03289938,Q8C9V1,Q8C9V1,Carabin,Tbc1d10c,,7,8,4,4,13.37699986,14.50660038,13.67490005,14.72850037,17.06559944,16.89629936,17.41399956,17.04269981
+,1.526374776,-1.515199661,Q8CA72,Q8CA72,Gigaxonin,Gan,,3,5,2,3,NaN,11.30840015,11.44320011,NaN,NaN,12.31509972,13.04749966,13.31040001
+,2.74453781,1.539225101,Q8CAQ8,Q8CAQ8,MICOS complex subunit Mic60,Immt,,28,8,4,4,18.0298996,19.13269997,18.5298996,18.99180031,16.88850021,16.87199974,17.33139992,17.43549919
,0,1.37872529,Q8CAS9,Q8CAS9,Poly [ADP-ribose] polymerase 9,Parp9,,6,5,4,1,12.8852005,13.92780018,12.52229977,14.33920002,NaN,12.03989983,NaN,NaN
+,2.332137021,-3.023775101,Q8CB62,Q8CB62,Centrobin,Cntrob,,2,6,2,4,NaN,NaN,9.908800125,10.92959976,13.72799969,13.78830051,12.59119987,13.6644001
+,3.145632875,-5.443766276,Q8CB77,Q8CB77,Transcription elongation factor B polypeptide 3,Tceb3,,17,7,3,4,13.24900055,10.86480045,13.20269966,NaN,17.56900024,17.25839996,18.42329979,18.27969933
,0.3970892463,0.6779499054,Q8CBE3,Q8CBE3,WD repeat-containing protein 37,Wdr37,,9,6,4,2,13.15079975,14.12750053,13.49499989,14.52449989,NaN,NaN,12.24250031,14.05049992
,0,-1.990374804,Q8CBW3,Q8CBW3,Abl interactor 1,Abi1,,3,5,4,1,11.28079987,11.94890022,11.3767004,12.18729973,NaN,13.68879986,NaN,NaN
,1.024910902,0.3447995186,Q8CBY3,Q8CBY3,Leukocyte receptor cluster member 8 homolog,Leng8,,18,8,4,4,18.46489906,18.77779961,18.09700012,18.59399986,18.16090012,17.86470032,18.20750046,18.32139969
+,3.820387817,2.831400156,Q8CBY8,Q8CBY8,Dynactin subunit 4,Dctn4,,11,8,4,4,17.74510002,18.30410004,17.6718998,18.36630058,14.35369968,15.50570011,15.54699993,15.35540009
,0.3688977212,-0.2305502892,Q8CC35,Q8CC35,Synaptopodin,Synpo,,22,8,4,4,18.37689972,19.49270058,19.25099945,19.25939941,19.16239929,19.18300056,19.30109978,19.65570068
+,3.985136717,4.32211256,Q8CC88,Q8CC88,von Willebrand factor A domain-containing protein 8,Vwa8,,11,8,4,4,12.68230057,12.91520023,13.5376997,12.77680016,8.053979874,9.866570473,8.73375988,7.969240189
,0.9911685829,-1.359150171,Q8CCF0,Q8CCF0,U4/U6 small nuclear ribonucleoprotein Prp31,Prpf31,,10,8,4,4,16.03549957,15.72399998,18.75849915,16.76049995,17.8932991,18.1765995,18.68280029,17.96240044
,0,NaN,Q8CCJ3,Q8CCJ3,E3 UFM1-protein ligase 1,Ufl1,,4,4,4,0,12.01109982,11.75129986,9.70720005,11.37870026,NaN,NaN,NaN,NaN
+,2.492203263,-1.704149723,Q8CCP0,Q8CCP0,Nuclear export mediator factor Nemf,Nemf,,31,8,4,4,15.55650043,16.62549973,15.72350025,16.75020027,18.35379982,17.73169899,17.4470005,17.93980026
,0.5093560202,0.4006500244,Q8CCS6,Q8CCS6,Polyadenylate-binding protein 2,Pabpn1,,7,8,4,4,18.29109955,19.56290054,19.83690071,19.32449913,18.5454998,18.74029922,19.05550003,19.07150078
+,2.140121291,-1.512925148,Q8CD10,Q8CD10,"Calcium uptake protein 2, mitochondrial",Micu2,,10,8,4,4,14.57919979,15.37909985,15.07279968,16.37129974,16.95330048,16.83329964,16.87899971,16.78849983
+,1.525684273,-1.406049252,Q8CD15,Q8CD15,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA,Mina,,9,8,4,4,15.45300007,16.0678997,14.02190018,15.94250011,17.12509918,16.35449982,16.8939991,16.73589897
,0,1.140443802,Q8CDM1,Q8CDM1,ATPase family AAA domain-containing protein 2,Atad2,,4,4,3,1,9.87460041,NaN,12.16989994,11.30780029,NaN,NaN,NaN,9.976989746
,0.3525282159,0.2780335744,Q8CDN6,Q8CDN6,Thioredoxin-like protein 1,Txnl1,,6,7,4,3,15.21350002,14.22480011,14.9708004,14.53810024,14.92500019,14.06599998,NaN,14.38529968
,0.1543561407,0.7014317513,Q8CE46,Q8CE46,Pseudouridylate synthase 7 homolog-like protein,Pus7l,,6,5,3,2,8.728899956,10.63333988,13.03760052,NaN,NaN,9.559229851,NaN,10.63780022
,1.332417791,-1.189750592,Q8CE64,Q8CE64,Zinc finger protein 276,Znf276,,4,7,4,3,11.21049976,12.57079983,11.60659981,12.56029987,NaN,13.37470055,12.7052002,13.45050049
,0.1515637265,-0.4649337133,Q8CE90,Q8CE90,Dual specificity mitogen-activated protein kinase kinase 7,Map2k7,,2,5,2,3,12.80720043,12.91619968,NaN,NaN,NaN,14.06640053,14.31150055,11.60200024
,0.9735628346,-0.4529247284,Q8CE96,Q8CE96,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,Trmt6,,7,8,4,4,15.02190018,15.08460045,15.18000031,15.71740055,15.85150051,15.18939972,16.00110054,15.77359962
,0.02477633806,-0.05307483673,Q8CEE7,Q8CEE7,Retinol dehydrogenase 13,Rdh13,,5,8,4,4,13.83390045,15.01780033,14.1196003,15.38290024,14.64990044,13.66240025,13.82460022,16.42959976
+,2.972616352,-2.66629982,Q8CES0,Q8CES0,N-alpha-acetyltransferase 30,Naa30,,8,8,4,4,13.78530025,13.54870033,13.60770035,15.16890049,17.22380066,16.50569916,16.92300034,16.12330055
,0.6349362002,-0.9378750324,Q8CFC7,Q8CFC7,CLK4-associating serine/arginine rich protein,Clasrp,,3,8,4,4,14.24620056,14.29310036,16.77079964,14.4921999,15.15210056,16.33679962,16.63610077,15.42879963
+,1.415725256,1.485233068,Q8CFE3,Q8CFE3,REST corepressor 1,Rcor1,,5,7,4,3,13.97459984,15.25590038,14.59430027,14.64519978,13.92170048,12.15869999,NaN,13.31640053
,0,-0.2137744427,Q8CFI5,Q8CFI5,"Probable proline--tRNA ligase, mitochondrial",Pars2,,2,5,4,1,11.54170036,11.90070057,10.64970016,11.57999992,NaN,11.6317997,NaN,NaN
+,3.574006045,-1.835999966,Q8CFI7,Q8CFI7,DNA-directed RNA polymerase II subunit RPB2,Polr2b,,31,8,4,4,16.30069923,16.37319946,16.59860039,17.28420067,18.53030014,18.21190071,18.58169937,18.57679939
+,2.489041095,-2.110249519,Q8CFQ3,Q8CFQ3,Intron-binding protein aquarius,Aqr,,34,8,4,4,14.84119987,14.35210037,16.25180054,15.89089966,17.51729965,17.29080009,17.52009964,17.44879913
+,2.731382157,-2.965124846,Q8CG46,Q8CG46,Structural mainte1000ce of chromosomes protein 5,Smc5,,16,8,4,4,10.60200024,12.73620033,12.87590027,11.55060005,14.8064003,14.52060032,15.30529976,14.99289989
+,2.270247016,-1.28524971,Q8CG47,Q8CG47,Structural mainte1000ce of chromosomes protein 4,Smc4,,35,8,4,4,15.81150055,16.91349983,16.76869965,16.95000076,17.75639915,17.58329964,18.06800079,18.17700005
,0.845738372,-0.7032754421,Q8CG48,Q8CG48,Structural mainte1000ce of chromosomes protein 2,Smc2,,33,8,4,4,16.00259972,17.45529938,15.8366003,17.03310013,17.55109978,17.0095005,17.49270058,17.08740044
,1.590313714,1.143724918,Q8CG73,Q8CG73,Protein fantom,Rpgrip1l,,7,8,4,4,12.47329998,13.87629986,13.5017004,13.67300034,11.60140038,12.28450012,12.70110035,12.36240005
+,2.212586211,1.327600002,Q8CG76,Q8CG76,Aflatoxin B1 aldehyde reductase member 2,Akr7a2,,2,6,2,4,NaN,13.53660011,NaN,13.99009991,12.84689999,12.25730038,12.26869965,12.37010002
,2.153461038,-0.8048000336,Q8CGC4,Q8CGC4,Protein LSM14 homolog B,Lsm14b,,10,8,4,4,16.83729935,17.43759918,16.98410034,17.2996006,18.15299988,18.10960007,17.52059937,17.9946003
+,3.086694334,-1.696575165,Q8CGC6,Q8CGC6,RNA-binding protein 28,Rbm28,,27,8,4,4,17.83539963,18.52519989,17.86450005,18.35989952,19.75259972,19.2887001,20.24760056,20.08239937
,0.854999499,0.3955249786,Q8CGC7,Q8CGC7,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,Eprs,,48,8,4,4,17.53829956,18.2595005,18.35099983,18.02319908,17.70149994,17.25639915,17.95470047,17.6772995
,0.08122055731,-0.08675003052,Q8CGF7,Q8CGF7,Transcription elongation regulator 1,Tcerg1,,6,8,4,4,13.60350037,14.64900017,13.36089993,14.41810036,14.66470051,13.56550026,14.16429996,13.98400021
+,2.436421659,-2.423150063,Q8CGI1,Q8CGI1,Protein FAM193A,Fam193a,,8,8,4,4,12.95180035,11.41989994,11.72459984,12.69110012,15.18910027,13.92459965,14.02670002,15.33960056
+,5.615972836,3.291950464,Q8CGK3,Q8CGK3,"Lon protease homolog, mitochondrial",Lonp1,,10,8,4,4,14.96850014,15.16320038,15.49480057,15.07590008,11.83769989,12.0383997,11.47599983,12.18249989
,0.5070997543,-0.8008048534,Q8CGN4,Q8CGN4,BCL-6 corepressor,Bcor,,2,8,4,4,13.27000046,11.02420044,10.05850029,10.44707966,12.08199978,11.95810032,12.20110035,11.76179981
+,1.937526475,-1.717474461,Q8CGP7,Q8CGP7,Histone H2A type 1-K,Hist1h2ak,,8,8,4,4,23.91670036,24.75819969,24.16060066,24.86860085,26.59479904,25.47559929,27.10090065,25.40270042
,0,-2.807634115,Q8CGS6,Q8CGS6,DNA polymerase theta,Polq,,2,5,1,4,6.549571037,NaN,NaN,NaN,9.708760262,9.053050041,9.260499954,9.406510353
,0.08426035893,-0.07292509079,Q8CGY8,Q8CGY8,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Ogt,,7,8,4,4,14.2887001,14.2954998,14.64929962,15.60229969,14.85960007,14.83339977,14.79189968,14.64260006
+,2.063647496,-2.184675694,Q8CGZ0,Q8CGZ0,Calcium homeostasis endoplasmic reticulum protein,Cherp,,16,8,4,4,16.61089897,17.46249962,17.59160042,17.52910042,19.17860031,18.59740067,19.16320038,20.99360085
+,1.821018929,-1.814308325,Q8CH02,Q8CH02,SURP and G-patch domain-containing protein 1,Sugp1,,5,7,3,4,11.71640015,12.54699993,NaN,12.67129993,13.91349983,15.17840004,13.4829998,13.92860031
+,2.668583436,-1.997499943,Q8CH09,Q8CH09,SURP and G-patch domain-containing protein 2,Sugp2,,9,8,4,4,13.58259964,12.46899986,12.06060028,12.76290035,14.70339966,14.21969986,14.65869999,15.2833004
+,2.724289492,1.591249943,Q8CH18,Q8CH18,Cell division cycle and apoptosis regulator protein 1,Ccar1,,7,8,4,4,18.60739899,18.97850037,19.65130043,18.48729897,17.27219963,17.50259972,16.9484005,17.63629913
+,3.531610534,-1.332550049,Q8CH25,Q8CH25,SAFB-like transcription modulator,Sltm,,22,8,4,4,17.19890022,17.3253994,17.64249992,17.42399979,18.29520035,18.76510048,18.88279915,18.97789955
+,1.653101532,1.189650059,Q8CH72,Q8CH72,E3 ubiquitin-protein ligase TRIM32,Trim32,,22,8,4,4,17.53499985,18.7458992,18.86910057,18.92329979,17.75769997,17.44980049,16.77249908,17.33469963
+,2.478977775,-1.793723424,Q8CHC4,Q8CHC4,Synaptojanin-1,Synj1,,3,5,3,2,9.507800102,9.932180405,9.931300163,NaN,NaN,NaN,11.72060013,11.4477005
,0.9458361626,-1.34575669,Q8CHI8,Q8CHI8,E1A-binding protein p400,Ep400,,7,7,3,4,8.505570412,NaN,10.19009972,8.642769814,9.423140526,11.20479965,11.23589993,9.970439911
,0,2.542150497,Q8CHK3,Q8CHK3,Lysophospholipid acyltransferase 7,Mboat7,,4,5,4,1,14.23320007,16.06220055,14.76620007,13.42059994,12.07839966,NaN,NaN,NaN
,0,NaN,Q8CHK4,Q8CHK4,Histone acetyltransferase KAT5,Kat5,,2,4,0,4,NaN,NaN,NaN,NaN,12.57069969,12.33720016,12.74699974,12.97340012
+,2.05496349,-2.17427516,Q8CHP0,Q8CHP0,Zinc finger CCCH domain-containing protein 3,Zc3h3,,9,8,4,4,11.02670002,12.26119995,11.15229988,10.77579975,12.46269989,13.49629974,13.24450016,14.70960045
+,3.55205437,-3.41762495,Q8CHP5,Q8CHP5,Partner of Y14 and mago,Wibg,,4,8,4,4,14.42230034,15.88090038,14.85010052,16.25659943,18.37330055,18.79929924,19.05360031,18.85420036
+,2.319718658,-2.725649993,Q8CHP6,Q8CHP6,Polyhomeotic-like protein 3,Phc3,,4,7,3,4,11.00040054,13.24830055,NaN,12.63599968,15.08370018,14.85710049,15.04139996,15.10000038
+,2.364012871,1.569499969,Q8CHW4,Q8CHW4,Translation initiation factor eIF-2B subunit epsilon,Eif2b5,,7,8,4,4,16.3784008,17.98259926,17.0468998,17.39459991,15.60780048,15.59249973,15.3980999,15.92609978
+,3.664821015,-1.789174318,Q8CHY6,Q8CHY6,Transcriptional repressor p66 alpha,Gatad2a,,13,8,4,4,15.08419991,15.93009949,15.81010056,15.62230015,17.35269928,17.07799911,17.48839951,17.68429947
+,2.915496974,-2.838325262,Q8CI03,Q8CI03,FLYWCH-type zinc finger-containing protein 1,Flywch1,,7,8,4,4,13.24600029,13.57349968,12.21450043,14.0237999,16.86639977,15.38870049,16.25760078,15.89840031
+,3.240166068,-1.938149691,Q8CI08,Q8CI08,SLAIN motif-containing protein 2,Slain2,,3,8,4,4,13.93179989,13.43650055,12.71520042,13.30830002,15.68959999,14.97729969,15.33150005,15.14599991
+,3.421394373,-2.721574783,Q8CI11,Q8CI11,Guanine nucleotide-binding protein-like 3,Gnl3,,26,8,4,4,17.25930023,17.53429985,18.59729958,18.00020027,20.68619919,19.89760017,21.06229973,20.63129997
+,2.557298575,3.477874597,Q8CI32,Q8CI32,BAG family molecular chaperone regulator 5,Bag5,,8,7,4,3,16.27009964,16.39979935,16.88559914,15.07040024,NaN,13.21339989,11.62150002,13.20090008
,1.625388786,-0.8411250114,Q8CI33,Q8CI33,CWF19-like protein 1,Cwf19l1,,8,8,4,4,15.3906002,16.1529007,15.41390038,16.10969925,16.98900032,16.11800003,16.74300003,16.58160019
+,5.452109204,4.236824751,Q8CI43,Q8CI43,Myosin light chain 6B,Myl6b,,7,8,4,4,17.45770073,18.49079895,18.16550064,17.96710014,13.94690037,13.43360043,13.66050053,14.09280014
,0.933101707,0.9330999851,Q8CI51,Q8CI51,PDZ and LIM domain protein 5,Pdlim5,,6,8,4,4,14.74639988,15.18970013,14.0255003,15.17080021,13.71280003,13.05940056,15.07139969,13.5564003
,0.7541855565,0.8298250039,Q8CI59,Q8CI59,Metalloreductase STEAP3,Steap3,,6,7,4,3,14.74359989,14.77429962,13.58180046,15.30800056,13.67840004,14.44260025,NaN,13.1953001
,0.2259777419,-0.3364906311,Q8CI75,Q8CI75,DIS3-like exonuclease 2,Dis3l2,,2,5,3,2,11.79629993,10.72867966,12.19149971,NaN,11.83810043,NaN,NaN,11.97920036
,0.445436859,0.3604753017,Q8CI94,Q8CI94,"Glycogen phosphorylase, brain form",Pygb,,10,8,4,4,14.32740021,14.92380047,15.57060051,15.41110039,14.63230038,14.09200001,15.17860031,14.88809967
+,4.246970378,-4.633350372,Q8CIB9,Q8CIB9,N-acetyltransferase ESCO2,Esco2,,20,8,4,4,12.34800053,10.99650002,12.54699993,12.94519997,16.7779007,16.63820076,16.5720005,17.38199997
,0,NaN,Q8CIC2,Q8CIC2,Nucleoporin-like protein 2,Nupl2,,1,4,0,4,NaN,NaN,NaN,NaN,13.59310055,13.05160046,13.23449993,13.82670021
+,3.015161827,-1.438999653,Q8CIE6,Q8CIE6,Coatomer subunit alpha;Xenin;Proxenin,Copa,,47,8,4,4,17.39480019,18.19639969,17.84589958,18.45299911,19.42519951,19.29559898,19.31959915,19.60569954
,0.5651920944,-0.3983254433,Q8CIG8,Q8CIG8,Protein arginine N-methyltransferase 5,Prmt5,,17,8,4,4,16.45969963,16.58519936,16.58429909,17.0807991,17.09749985,16.37010002,17.00379944,17.83189964
,0,2.047874689,Q8CIG9,Q8CIG9,F-box/LRR-repeat protein 8,Fbxl8,,2,5,4,1,12.26490021,12.73289967,11.79699993,12.86670017,NaN,NaN,NaN,10.36750031
+,2.182231769,-3.239200115,Q8CIL4,Q8CIL4,Uncharacterized protein C1orf131 homolog,,,6,6,2,4,NaN,14.3277998,12.53170013,NaN,17.07699966,16.1909008,16.51799965,16.88990021
